company_name,domain,category,headquarters,regions_served,company_size,ownership_stage,ai_relevance_note,event_behavior_note,buyer_fit_note,trust_fit_note,ai_relevance_score,event_sponsorship_behavior_score,executive_audience_fit_score,mojo_model_fit_score,commercial_readiness_score,contactability_score,primary_contact_name,primary_contact_title,primary_contact_email,executive_contact_name,executive_contact_title,executive_contact_email,warm_path,evidence_urls,event_fit_tags,stage,owner,next_action,next_action_date,notes,disqualification_reason
"Make","make.com","AI automation platform","Prague, Czech Republic","Global","Growth company","Private company","Visual AI automation platform for workflows, AI agents, integrations, and business process automation.","Listed as Gold sponsor at The AI Summit London 2026.","Strong fit for operations, marketing, finance, and IT workflow buyers.","Good fit if framed around practical workflow automation instead of generic no-code demos.","18","18","17","17","8","7","","Growth Marketing / Field Marketing / Partnerships","","","CMO / CRO / CEO","","","https://partners.london.theaisummit.com/","AI Integration and Workflow; AI Use Cases That Survive Finance","qualified","Research","Find US marketing or partnership owner; draft practical workflow automation angle.","","Could fit virtual event 3 strongly.",""
"1Password","1password.com","Identity security for humans and AI agents","Toronto, Canada","Global","Large growth company","Private company","Unified access platform secures identities and credentials across human and AI agent work.","Listed as Gold sponsor at The AI Summit London 2026.","Strong fit for CISO, CIO, IT, risk, and developer/security leaders.","Strong fit for AI agent identity and trust conversations.","19","18","18","18","8","7","","Security Field Marketing / Events / Partner Marketing","","","CISO-focused executive sponsor / CMO","","","https://partners.london.theaisummit.com/","AI Security, Governance, and Trust","priority","Research","Find security field marketing contact and draft AI agent identity angle.","","High-trust topic alignment.",""
"NiCE","nice.com","AI customer experience platform","Ra'anana, Israel / Hoboken, NJ","Global","Enterprise","Public company","AI-powered platforms automate customer and employee engagements into proactive and intelligent actions.","Listed as Platinum sponsor at The AI Summit London 2026.","Strong fit for CX, operations, contact center, CIO, and service leaders.","Good fit for practical AI use cases if not overly contact-center-specific.","18","19","17","16","8","6","","Field Marketing / CX Marketing / Events","","","CMO / Product executive","","","https://partners.london.theaisummit.com/","AI Use Cases That Survive Finance; AI Integration and Workflow","qualified","Research","Find CX field marketing owner and draft AI service operations angle.","","Useful for operational AI use-case programming.",""
"Figma","figma.com","AI-powered product design platform","San Francisco, CA","Global","Large growth company","Public company","Connected AI-powered platform for product teams from idea to shipped product.","Listed as Gold Partner at World Summit AI Amsterdam 2026.","Fit for product, design, digital transformation, and innovation leaders.","Good fit for AI-enabled product workflow sessions, less obvious for core executive governance rooms.","17","18","15","15","8","7","","Product Marketing / Events / Community","","","CMO / Product executive","","","https://worldsummit.ai/commercial-partners/","AI Integration and Workflow","qualified","Research","Find product marketing/event contact; validate executive audience overlap before outreach.","","Good but needs careful fit framing.",""
"Telnyx","telnyx.com","Real-time AI voice and communications infrastructure","Chicago, IL","Global","Growth company","Private company","Infrastructure for real-time AI agents, inference edge compute, and voice AI on a global communications platform.","Listed as Gold Partner at World Summit AI Amsterdam 2026.","Strong fit for CX, operations, communications, product, and AI agent leaders.","Good fit for agentic voice and infrastructure, especially for applied use-case programming.","19","18","16","17","8","7","","Field Marketing / Growth / Partnerships","","","CEO / CMO / Product executive","","","https://worldsummit.ai/commercial-partners/","AI Integration and Workflow; AI Use Cases That Survive Finance","qualified","Research","Find events/growth contact and draft real-time agent use-case angle.","","Interesting applied AI infrastructure category.",""
"Genpact","genpact.com","AI transformation and process services","New York, NY","Global","Enterprise","Public company","Agentic and advanced technology solutions company using process intelligence and AI to deliver enterprise outcomes.","Listed as Gold Partner at World Summit AI Amsterdam 2026.","Strong fit for COO, CFO, operations, transformation, and enterprise process leaders.","Strong if positioned around business process outcomes and operating model, not generic services.","18","18","19","17","8","6","","Industry Marketing / AI Practice Marketing / Field Marketing","","","AI practice executive / CMO","","","https://worldsummit.ai/commercial-partners/","AI Use Cases That Survive Finance; AI Operating Model for 2027","qualified","Research","Find US regional AI transformation marketing owner; draft process outcome angle.","","Good consulting/services partner candidate.",""
"Exiger","exiger.com","AI supply chain and risk intelligence","McLean, VA","US / Global","Growth company","Private company","AI-enabled supply chain, third-party risk, and national security intelligence platform.","Listed as 2026 Premier Sponsor at AI+ Expo.","Strong fit for risk, compliance, defense, supply chain, public sector, and executive security audiences.","Strong fit for trust and resilience if audience includes regulated industries and public sector.","18","18","16","17","7","6","","Public Sector Marketing / Field Marketing / Events","","","CEO / CRO / Government solutions executive","","","https://expo.scsp.ai/","AI Security, Governance, and Trust; AI Operating Model for 2027","qualified","Research","Find public sector or risk marketing contact; draft supply chain AI risk angle.","","Best fit for security/governance or public-sector adjacent programming.",""
"Rhombus Power","rhombuspower.com","Decision intelligence and defense AI","Palo Alto, CA","US / Global","Growth company","Private company","Decision intelligence and AI platform for strategic national security and enterprise decision support.","Listed as 2026 Premier Sponsor at AI+ Expo.","Fit for defense, public sector, intelligence, risk, and strategic decision audiences.","Good strategic fit if framed around decision intelligence and not too defense-specific for Mojo audience.","18","18","15","16","7","6","","Field Marketing / Government Marketing / Partnerships","","","CEO / CRO","","","https://expo.scsp.ai/","AI Executive Readiness; AI Security, Governance, and Trust","qualified","Research","Validate commercial executive audience overlap; find marketing or partnership owner.","","Potentially strong for DC/public-sector expansion; less central for Dallas unless local fit emerges.",""
"Google","google.com","AI platform and cloud","Mountain View, CA","Global","Enterprise","Public company","Major AI, cloud, data, and productivity platform provider.","Listed as 2026 Premier Sponsor at AI+ Expo.","Strong fit for executives across every AI adoption track.","Strong but requires very specific angle to avoid generic mega-vendor positioning.","20","19","20","16","9","5","","Google Cloud Field Marketing / AI Marketing / Executive Programs","","","Google Cloud AI executive sponsor","","","https://expo.scsp.ai/","AI Executive Readiness; AI Integration and Workflow; AI Operating Model for 2027","priority","Research","Find regional Google Cloud field marketing owner; draft executive readiness/intelligence partner angle.","","High-value but harder to contact and likely requires warm path.",""
"Lockheed Martin","lockheedmartin.com","Aerospace, defense, and AI-enabled systems","Bethesda, MD","Global","Enterprise","Public company","AI-enabled defense, aerospace, autonomy, and advanced systems context.","Listed as 2026 Sponsor at AI+ Expo.","Fit for national security, defense, public sector, and advanced technology leaders.","Strategic fit depends on event vertical; may be better for public-sector or defense-oriented programming than general executive summit.","16","17","14","13","8","5","","Corporate Events / Innovation Partnerships / Government Affairs","","","AI / innovation executive sponsor","","","https://expo.scsp.ai/","AI Executive Readiness; AI Security, Governance, and Trust","qualified","Research","Hold for public sector or defense-adjacent track; identify innovation partnership contact.","","Not a general first-wave sponsor unless audience strategy supports it.",""
"Ambarella","ambarella.com","Edge AI semiconductor","Santa Clara, CA","Global","Large company","Public company","Edge AI semiconductor and computer vision platform company.","Listed as Diamond sponsor at AI Infra Summit 2026.","Strong fit for hardware, edge AI, robotics, industrial, automotive, and physical AI audiences.","Good fit for infrastructure/edge sessions; less central for broad executive operating model unless verticalized.","18","19","14","15","8","6","","Product Marketing / Field Marketing / Events","","","CEO / CMO / Product executive","","","https://www.ai-infra-summit.com/sponsors","AI Integration and Workflow; AI Operating Model for 2027","qualified","Research","Validate relevance for physical AI or industrial audience; find product marketing contact.","","Strong physical/edge AI category prospect.",""
"Ayar Labs","ayarlabs.com","Optical interconnects for AI infrastructure","San Jose, CA","Global","Growth company","Private company","AI infrastructure component company focused on optical I/O for high-performance AI systems.","Listed as Platinum sponsor at AI Infra Summit 2026.","Fit for AI infrastructure, data center, semiconductor, and advanced compute leaders.","Good for AI infrastructure intelligence, less direct for business executive audience.","18","19","13","14","8","6","","Product Marketing / Field Marketing / Partnerships","","","CEO / CMO / CTO","","","https://www.ai-infra-summit.com/sponsors","AI Operating Model for 2027","qualified","Research","Hold for infrastructure sponsor pool; validate executive audience fit before outreach.","","Better for technical/infrastructure tracks.",""
"Blaize","blaize.com","Edge AI computing","El Dorado Hills, CA","Global","Growth company","Public company","Edge AI computing platform for deploying AI at the edge.","Listed as Platinum sponsor at AI Infra Summit 2026.","Fit for edge, industrial, automotive, IoT, robotics, and infrastructure leaders.","Good if Mojo builds physical AI or industrial AI sponsor category.","18","19","14","15","8","6","","Product Marketing / Field Marketing / Events","","","CEO / CMO / Product executive","","","https://www.ai-infra-summit.com/sponsors","AI Integration and Workflow; AI Operating Model for 2027","qualified","Research","Validate industrial/edge AI audience demand; identify marketing contact.","","Good for future vertical expansion.",""
"Broadcom","broadcom.com","Semiconductors, networking, infrastructure software","Palo Alto, CA","Global","Enterprise","Public company","AI infrastructure enabler through networking, connectivity, chips, and enterprise infrastructure software.","Listed as Platinum sponsor at AI Infra Summit 2026.","Strong fit for infrastructure, networking, data center, CIO, and platform audiences.","Good if framed around AI infrastructure readiness and systems architecture.","17","19","16","15","8","5","","Field Marketing / Partner Marketing / Events","","","Infrastructure software / AI networking executive sponsor","","","https://www.ai-infra-summit.com/sponsors","AI Integration and Workflow; AI Operating Model for 2027","qualified","Research","Find AI infrastructure or networking marketing owner; draft platform readiness angle.","","Large enterprise target; likely needs warm path.",""
"Cerebras Systems","cerebras.ai","AI compute systems","Sunnyvale, CA","Global","Growth company","Private company","AI compute systems and inference/training infrastructure for large-scale AI workloads.","Listed as Exhibitor at AI Infra Summit 2026.","Strong fit for AI infrastructure, model builders, technical leaders, and compute economics discussion.","Good fit for AI compute economics and production AI infrastructure.","19","16","15","16","8","6","","Field Marketing / Product Marketing / Events","","","CEO / CRO / CMO","","","https://www.ai-infra-summit.com/sponsors","AI Use Cases That Survive Finance; AI Operating Model for 2027","qualified","Research","Find events contact; draft AI compute economics angle.","","Strong category fit, but confirm sponsorship appetite beyond exhibit.",""
"ClearML","clear.ml","MLOps and AI orchestration","Tel Aviv, Israel","Global","Growth company","Private company","AI orchestration and MLOps platform for model development, deployment, and production workflows.","Listed as Exhibitor at AI Infra Summit 2026.","Fit for AI engineering, MLOps, data science, CTO, and platform teams.","Good for practical AI system reliability and productionization conversations.","19","16","15","17","7","7","","Growth Marketing / Field Marketing / Developer Relations","","","CEO / CMO / Product executive","","","https://www.ai-infra-summit.com/sponsors","AI Integration and Workflow; AI Operating Model for 2027","qualified","Research","Find growth/events owner; draft AI productionization and MLOps angle.","","Good technical sponsor, likely useful for virtual infrastructure track.",""
"Cockroach Labs","cockroachlabs.com","Distributed database and cloud data platform","New York, NY","Global","Large growth company","Private company","Distributed SQL database platform relevant to resilient data architecture and AI-ready systems.","Listed as Gold sponsor at AI Infra Summit 2026.","Fit for CIO, CTO, data platform, architecture, and reliability leaders.","Good fit for AI-ready data foundation; not purely AI vendor, so positioning must be systems-oriented.","15","18","16","16","8","7","","Field Marketing / Data Platform Marketing / Events","","","CMO / CTO / CRO","","","https://www.ai-infra-summit.com/sponsors","AI Integration and Workflow; AI Operating Model for 2027","qualified","Research","Validate AI messaging and find field marketing owner; draft resilient data foundation angle.","","Good adjacent infrastructure prospect.",""
